"","na2013","na2014","na2015","na2016","na2017"
"1",34,214,128,429,250
"2",50,500,161,218,216
"3",38,346,138,232,291
"4",33,384,249,284,406
"5",33,584,224,260,180
"6",33,322,272,204,349
"7",36,210,167,218,160
"8",33,255,357,711,490
"9",219,388,699,607,1523
"10",39,321,259,445,264
"11",41,260,218,330,292
"12",33,293,174,229,207
"13",49,170,154,448,198
"14",32,264,148,605,316
"15",40,349,218,275,220
"16",40,691,198,337,1177
"17",47,294,131,408,158
"18",36,368,362,202,228
"19",202,392,253,321,178
"20",42,352,258,264,269
"21",65,490,172,246,291
"22",33,270,228,317,248
"23",40,155,347,276,306
"24",36,551,1059,373,325
"25",81,203,268,349,384
"26",34,745,399,302,447
"27",66,630,248,833,2208
"28",38,447,375,383,2015
