Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
PM2.5,2013-12-01 00:00,2013,12,1,0,28,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 01:00,2013,12,1,1,36,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 02:00,2013,12,1,2,46,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 03:00,2013,12,1,3,57,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 04:00,2013,12,1,4,60,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 05:00,2013,12,1,5,90,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 06:00,2013,12,1,6,99,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 07:00,2013,12,1,7,125,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 08:00,2013,12,1,8,101,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 09:00,2013,12,1,9,93,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 10:00,2013,12,1,10,69,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 11:00,2013,12,1,11,43,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 12:00,2013,12,1,12,38,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 13:00,2013,12,1,13,44,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 14:00,2013,12,1,14,62,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 15:00,2013,12,1,15,83,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 16:00,2013,12,1,16,80,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 17:00,2013,12,1,17,63,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 18:00,2013,12,1,18,102,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 19:00,2013,12,1,19,130,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 20:00,2013,12,1,20,154,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 21:00,2013,12,1,21,135,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 22:00,2013,12,1,22,134,µg/m³,1 Hr,Valid
PM2.5,2013-12-01 23:00,2013,12,1,23,161,µg/m³,1 Hr,Valid
PM2.5,2013-12-02 00:00,2013,12,2,0,219,µg/m³,1 Hr,Valid
PM2.5,2013-12-02 01:00,2013,12,2,1,202,µg/m³,1 Hr,Valid
PM2.5,2013-12-02 02:00,2013,12,2,2,138,µg/m³,1 Hr,Valid
PM2.5,2013-12-02 03:00,2013,12,2,3,107,µg/m³,1 Hr,Valid
PM2.5,2013-12-02 04:00,2013,12,2,4,84,µg/m³,1 Hr,Valid
PM2.5,2013-12-02 05:00,2013,12,2,5,97,µg/m³,1 Hr,Valid
PM2.5,2013-12-02 06:00,2013,12,2,6,109,µg/m³,1 Hr,Valid
PM2.5,2013-12-02 07:00,2013,12,2,7,140,µg/m³,1 Hr,Valid
PM2.5,2013-12-02 08:00,2013,12,2,8,69,µg/m³,1 Hr,Valid
PM2.5,2013-12-02 09:00,2013,12,2,9,76,µg/m³,1 Hr,Valid
PM2.5,2013-12-02 10:00,2013,12,2,10,77,µg/m³,1 Hr,Valid
